Task,Difficulty,Problem Statement,Patterns,Hints,Last Revised Date,Notes
WordLadder,Very Hard,Find length of shortest transformation sequence from start to end word.,"BFS, Bidirectional Search, Optimization","Use BFS. The state is the word. The transitions are one-letter changes. Optimization: Use Bidirectional BFS. Start two BFS traversals, one from ‘beginWord‘ and one from ‘endWord‘. When the two search frontiers meet, a shortest path has been found. This significantly reduces the search space.",,Bidirectional BFS and pattern using is difficult to think
Minesweeper,Medium,Simulate Minesweeper game reveal.,"DFS/BFS, Grid Traversal, State Transition","This is a DFS/BFS problem. If a click reveals a bomb (’M’), change it to ’X’. If it's an empty square, count the number of adjacent bombs. If count>0, change the cell to count (e.g., '1', '2'). If count=0, change it to ’B’ and recursively/iteratively reveal all its unrevealed neighbors.",,
CourseScheduleIV,Very Hard,"given an array of prerequisite pairs and a list of query pairs.For each query [u, v], determine whether u is a prerequisite of v (directly or indirectly).","Graph (Directed), Floyd-Warshall/Transitive Closure",Use the Floyd-Warshall algorithm to calculate all-pairs reachability: reachable[i][j]=reachable[i][j]∨(reachable[i][k]∧reachable[k][j]).,,
MinCostSum,Hard,Find minimum cost to achieve a target sum.,"Dynamic Programming, Array Iteration","DP State: dp[i] is the minimum cost to reach the i-th step. Recurrence: dp[i]=cost[i]+min(dp[i−1],dp[i−2]) (or similar for the specific problem constraints).",,
WordSearch,Medium,Search for a word in a 2D board.,"Backtracking, DFS, Grid Traversal",Use Backtracking/DFS. Start a DFS from every cell in the grid. The DFS explores the 4 directions. The recursive call only proceeds if the next letter in the word matches the cell's character. Mark the current cell as visited for the duration of the recursive path.,,
WordSearch2,Very Hard,"Given a 2D board and a list of words from the dictionary, find all words that can be formed by sequentially adjacent letters from board","Trie, Backtracking, DFS","Optimization: Build a Trie from the list of words. Use DFS (Backtracking) on the grid. At each cell, check if the path formed so far is a prefix in the Trie. If a complete word is found, add it to the result and continue searching. This avoids checking a word that doesn't exist.",,
EvaluateDivision,Very Hard,Evaluate division equations using given variable relationships.,"Graph (Directed, Weighted), DFS/BFS, Union-Find",Treat the problem as a graph where nodes are variables and edge weights are the ratio. A/B=2.0 is an edge A→B with weight 2.0 and B→A with weight 1/2.0. Use DFS or BFS to find the path between the query variables. The result is the product of the edge weights along the path.,,
MaxSlidingWindow,Very Hard,Find maximum in each sliding window of size k.,"Deque (Double-Ended Queue), Monotonic Queue","Use a Monotonic Decreasing Deque. The deque stores the indices of elements. The front of the deque is always the index of the maximum element in the current window. When adding a new element, remove all smaller elements from the back of the deque. Before adding the new element, remove the index at the front if it's outside the window.",,
TaskScheduler,Very Hard,Find minimum time to complete tasks with cooling intervals.,"Greedy, Frequency Analysis, Slot Management",This is a Greedy approach based on frequency. The minimum time is determined by the most frequent task (max_freq). The time is at least (max_freq−1)×(n+1)+count(max_freq). The total time is the max of this calculated time and the total number of tasks.,,
PalindromePairs,Hard,Find all pairs of words that form palindromes when concatenated.,"Trie, Hash Map, Palindrome Check","Optimization: Use a Trie to store the reverse of all words. For each word in the original list, search for it in the reverse Trie. A pair (word1,word2) forms a palindrome if: 1) word2 is the reverse of word1. 2) word1 is prefix+palindrome and word2 is reverse(prefix). 3) word2 is palindrome+suffix and word1 is reverse(suffix).",,
WebsiteVisit,Medium,Find most visited website pattern.,"Hash Map, Time Series Analysis, Frequency","Group the website visits by user. For each user, extract all contiguous sequences of three website visits (trip1,trip2,trip3) in chronological order. Use a HashMap to count the frequency of each unique 3-sequence.",,
PartitionLabels,Hard,Partition string into maximum parts where each letter appears in at most one part.,"Greedy, Last Occurrence Tracking","Greedy Approach: The key is to find the last occurrence of every character in the string. Iterate through the string, maintaining the maximum last index ‘max_end‘ of all characters seen so far in the current partition. When the current index i equals ‘max_end‘, a valid partition is found.",,
AllOne,Very Hard,"Design data structure supporting inc, dec, getMaxKey, getMinKey in O(1).","Data Structure Design, Doubly Linked List, Hash Map",This requires a complex structure for O(1) operations. Use a HashMap to map key→‘node‘ and a Doubly Linked List where each node represents a frequency level and contains a Set of all keys with that frequency. ‘inc‘ moves a key from one Set to the next frequency node's Set.,,
ZeroSum,Easy,Find if there exists a subarray with sum zero.,"Hash Map, Prefix Sum","Use a HashMap to store the prefix sum and its index. If current_sum is seen again, the subarray between the two indices sums to 0. The length of the longest subarray is current_index−old_index.",,
OriginalDigits,Hard,"Reconstruct digits from jumbled string of digit words. ""owoztneoer"" -> ""012""","Frequency Analysis, Unique Character Signatures","This uses a frequency map of characters. The key is that certain digits have unique characters (e.g., 'z' for zero, 'w' for two, 'u' for four, 'x' for six, 'g' for eight). Solve for these first, then use their counts to find the remaining digits.",,Unintuitive approach. Easy code after looking at it
DuplicateFile,Medium,Find duplicate files in a file system.,"Hash Map, Hashing/Content Grouping","Use a HashMap where the key is the file content and the value is a list of all file paths containing that content. Iterate through the paths, extract the content and file name, and populate the map.",,
MaxEvents,Medium,Maximize number of events you can attend.,"Greedy, Sorting, Min-Heap","(Same as previous MaxEvents entry). Sort by start day. Iterate through days. Use a Min-Heap to store available events, ordered by end day. Greedily attend the event that ends earliest.",,Easy after clicking approach
MaxEvents2,Very Hard,"Maximize value gained from attending event [startDay, endDay, value]. You can attend at max k events","Dynamic Programming, Greedy, 0/1 Knapsack (Modified)","DP State: dp[d][k] is the maximum value that can be collected by attending at most k events up to day d. Recurrence: dp[d][k]=max(dp[d−1][k],dp[start−1][k−1]+value). Sort events by end day.",,
kPairsWithSmallestSums,Hard,Find k pairs with smallest sums combination from two sorted arrays.,"Min-Heap, K-way Merge (Modified)","This is similar to a K-way merge. Use a Min-Heap to store (‘sum‘, ‘index1‘, ‘index2‘). Initialize the heap with (nums1[i]+nums2[0]) for all i. After extracting a pair, add the next pair from the second array to the heap: (nums1[i]+nums2[j+1]).",,
KthSmallestInSortedMatrix,Hard,Find kth smallest element in a matrix with sorted rows and columns.,"Binary Search on Answer, Min-Heap (K-way Merge)","Insert (value, i, j) in min heap. Poll it from minHeap and then insert values below and right of that position",,
KthLargestFinder,Easy,Find kth largest element in an array.,"Sorting, Quickselect, Heap","The most efficient solution is Quickselect (average O(N)), which is a modification of Quicksort's partition. Alternatively, use a Min-Heap of size K (insert/delete is O(logK), total O(NlogK)).",,
KthlargestStreamFinder,Hard,Design class to find kth largest element in a stream.,"Min-Heap, Data Stream","Use a Min-Heap of size K. When a new element arrives, push it onto the heap. If the heap size exceeds K, pop the minimum element (the root). The root of the final size-K heap is the K-th largest element.",,
MergeKLists,Medium,Merge k sorted linked lists.,"Min-Heap, K-way Merge","This is a standard K-way merge problem. Use a Min-Heap to store the head node of each of the K lists. Continuously extract the minimum node, add it to the result, and insert the next node from that same list into the heap.",,
CandyDistribution,Hard,Distribute candies to children so that each child get atleast one candy and children with higher rating get more candy then immediate neighbor,"Greedy, Two Passes",Use a Greedy approach with two passes. 1) Left-to-Right: Ensure that the right child with a higher rating gets more candy than the left child. 2) Right-to-Left: Ensure that the left child with a higher rating gets more candy than the right child. The final candy count for a child is the maximum of the two passes.,,Not able to come up with approach. Understood after 
MinimumMovesToAggregateSeats,Very Hard,GIven a string representing filled/empty seats in a line. Find minimum moves to aggregate all seats together. A move means moving a person one position left or right to an empty seat.,"Median/Prefix Sum, Array Manipulation",The minimum cost to move points to a single point is achieved by moving them to the median point. The cost calculation can be optimized using Prefix Sum to quickly find the total movement cost for any given median point.,21-Sep-2025,
MajorityElement,Medium,Find majority element appearing more than n/2 times.,"Voting Algorithm, Array Properties","Boyer-Moore Voting Algorithm: Iterate through the array. Maintain a ‘count‘ and a ‘candidate‘. If count=0, set ‘candidate‘ to the current element. If element=‘candidate‘, increment count; otherwise, decrement count. The final ‘candidate‘ is the majority element.",,Different appraoch. Easy implementation
RandomizedArrayShuffler,Medium,Shuffle an array randomly.,"Array Manipulation, Randomization","Implement the Fisher-Yates (Knuth) Shuffle algorithm. Iterate from the last element to the first. At each index i, swap the element nums[i] with a randomly chosen element from the prefix nums[0…i].",,
KthFactorOfNumber,Easy,Find kth factor of a number.,"Number Theory, Factorization","Iterate from 1 up to N​. If i divides N, then i and N/i are factors. Collect all factors and sort them, or keep track of two pointers for i and N/i to avoid sorting.",,
IntegerDivisionWithoutOperators,Very Hard,"Divide two integers without using multiplication, division, or mod operators.","Bit Manipulation, Binary Search","The core idea is to find Q such that D×Q≤dividend<D×(Q+1). Use Binary Search to find Q. The multiplication D×Q is done efficiently using left bit shifts (e.g., D×2k is D≪k) to find the largest 2k multiple of the divisor that is ≤ the remainder.",,DIdn't understand the bit manipulations part
FindSqrt,Hard,Find integer square root of a number.,"Binary Search, Math","Use Binary Search on the range [1,x] (or [1,x/2]). For a mid-value M, check if M×M is equal to, less than, or greater than x. Adjust the search range accordingly.",,Difficult to implement
CountPrimes,Hard,Find all prime numbers up to n using Sieve of Eratosthenes.,"Number Theory, Prime Generation","The Sieve of Eratosthenes is an algorithm for finding all prime numbers up to a given limit N. Start with a list of all integers. Mark multiples of the first prime (2) as composite, then the multiples of the next unmarked number (3), and so on.",,
Power,Very Hard,Calculate x raised to power n.,"Math, Binary Exponentiation","For each iteration, if the exponent is odd, multiply the result by the current base; then square the base and halve the exponent. Handle negative exponents by taking the reciprocal of the base upfront. Convert n to long to safely handle Integer.MIN_VALUE edge case.",,
Division,Hard,Perform division of two numbers.,"Binary Search, Bit Manipulation",(Same as IntegerDivisionWithoutOperators) The key is using bit shifts (≪) to efficiently multiply the divisor by powers of 2 and subtract the largest possible multiple from the dividend.,,
TimePalindrome,Medium,Find next palindromic time.,"String Manipulation, Time/Clock Arithmetic, Palindrome Check","Iterate through the hours and minutes (from the given time) to find the next time that is a palindrome when represented as a 4-digit string (e.g., '10:01', '02:20').",,
ValidNumberChecker,Medium,Validate if a string is a valid number.,"Finite Automata, String Parsing","Implement a Finite State Machine (FSM). Define states for the start, sign, integer part, decimal point, fractional part, exponent 'e', exponent sign, and exponent integer. Transition between states based on the current character.",,Not useful for interviews
CsvParser,Very Hard,Parse CSV data.,"String Parsing, State Machine, Delimiters","Use a State Machine to handle the three states: 1) Unquoted field (comma is a delimiter). 2) Quoted field (comma is not a delimiter, double quotes are escaped). 3) Quote ending (check for a second quote or a comma).",,Handling the enclosed quote is edge case
LongestPalindrome,Hard,Find longest palindromic substring.,"Dynamic Programming, Two Pointers (Expand from Center)","DP State: dp[i][j] is true if the substring s[i…j] is a palindrome. Recurrence: dp[i][j]=s[i]=s[j]∧dp[i+1][j−1]. Optimization (Expand from Center): Iterate through all possible centers (i for odd length, i,i+1 for even length) and expand outwards as long as the characters match.",,"Not intuitive appraoch, Easy to implement after looking at code"
RomanToInt,Hard,Convert Roman numeral to integer.,"String/Symbol Parsing, Subtractive Rule","The main rule is additive, but the subtractive rule (e.g., ’IV’=4,’IX’=9) is the tricky part. Iterate through the string, and if the current symbol's value is less than the next symbol's value, subtract the current value; otherwise, add it.",,"Non intuitive approach, easy to implement after looking at code"
StrStr,Medium,Find first occurrence of substring in a string.,"String Matching, KMP Algorithm/Rolling Hash","The naive approach is O(N×M). The optimized approach uses the KMP (Knuth-Morris-Pratt) algorithm, which uses a pre-calculated LPS (Longest Proper Prefix which is also a Suffix) array to avoid unnecessary re-matching.",,
LongestHappyString,Medium,Construct longest happy string with given character counts.,"Greedy, Max-Heap","This is a Greedy problem. Use a Max-Heap to store the counts of the characters. At each step, greedily choose the most frequent character, but only if it doesn't violate the three-in-a-row constraint. If the most frequent character would violate the constraint, use the second most frequent one once.",,
CountAndSay,Medium,Generate nth term of count-and-say sequence.,"Recursion, String Generation","This is a recursive string generation. ‘CountAndSay‘(n) is generated by ""reading aloud"" the string from ‘CountAndSay‘(n−1). The key is iterating through the previous string and counting contiguous identical characters.",,
ReverseString,Easy,Reverse a string.,"Two Pointers, In-place Reversal","Use Two Pointers (‘left‘ and ‘right‘) starting at the beginning and end of the string. In a loop, swap the characters at the two pointers and move them towards the center until they cross.",,
RotatedString,Hard,Check if one string is a rotation of another.,"String Manipulation, Substring Check",A string B is a rotation of A if B is a substring of A+A and length(A)=length(B). The check is len(A)=len(B)∧(B in A+A).,,
FindReplaceInString,Medium,Perform find and replace operations on a string.,"String Manipulation, Reverse Order","To avoid indices shifting after a replacement, perform the replacements in reverse order (from the end of the string to the beginning). Sort the indices array in descending order.",,Just need to remember reverse replacement
ReOrderLogFile,Medium,Reorder log files with letter-logs before digit-logs.,"Custom Sorting, Comparator","Implement a custom Comparator for the list of logs. The rules are: 1) Letter logs come before digit logs. 2) Letter logs are sorted lexicographically by content, then by identifier. 3) Digit logs remain in their original order.",,
MinInsertionPalindrome,Hard,Find minimum insertions to make string a palindrome.,"Dynamic Programming, Longest Common Subsequence",The minimum number of insertions to make a string a palindrome is equal to the length of the string minus the Length of the Longest Palindromic Subsequence (LPS). LPS is equivalent to the Longest Common Subsequence (LCS) of the original string and its reverse.,,
AtoI,Medium,Convert string to integer (atoi).,"String Parsing, Edge Case Handling",Implement a state machine or use careful parsing to handle the sequence: whitespace → sign → digits → non-digit. The main difficulty is handling Integer Overflow (clamping the result to INT_MAX or INT_MIN).,,
RepeatLimitedString,Medium,Construct repeat limited string.,"Greedy, Frequency Map","Use a Max-Heap or a reverse-ordered Frequency Map to greedily pick the largest available character. The constraint is that a character can be repeated at most k times. If the largest character ‘A‘ is at its limit, insert a single instance of the next largest character ‘B‘ before resuming with ‘A‘.",,
LongestChunkedPalindrome,Medium,Find longest chunked palindrome decomposition.,"Two Pointers, String Matching","Use Two Pointers (‘left‘ and ‘right‘) to check for equal prefix and suffix. ‘left‘ starts at 0, ‘right‘ starts at length−1. At each step, increase the prefix length L and check if text[0…L−1]=text[length−L…length−1].",,
RomanNumbers,Hard,Convert integer to Roman numeral.,"Greedy, Symbol/Value Mapping","Use a map of Roman values and their symbols, sorted in descending order (e.g., 1000→’M’). Iterate through the map and greedily subtract the largest possible value from N, appending the corresponding symbol to the result.",,
ReorganizeString,Medium,Rearrange string so no two adjacent characters are the same.,"Greedy, Max-Heap, Frequency Analysis",This is a Greedy approach based on frequency. The most frequent character cannot have a count greater than ⌈length/2⌉. Use a Max-Heap to store character counts. Greedily pick the two most frequent characters and append them to the result one by one.,,
ZigZagStringConverter,Medium,Convert string to zigzag pattern.,"String Manipulation, Pattern Recognition, Row Tracking","The pattern is based on the period of the zigzag: 2×(numRows−1). For each row i, the characters occur at indices k⋅period+i and k⋅period+(period−i).",,
LongestSubstringKRepeating,Hard,Find longest substring with at least k repeating characters.,"Divide and Conquer, Character Frequency","This uses a Divide and Conquer approach with frequency analysis. If a character's frequency is less than K, it cannot be part of the final answer. Use that character as a delimiter to split the string into smaller substrings and recursively solve the problem on those substrings.",,
TextJustification,Hard,Justify text to fit within given width.,"Greedy, Line-by-Line Formatting","Greedy: Fit as many words as possible on the current line. The main difficulty is the even distribution of spaces. Calculate total_spaces. Distribute total_spaces/(num_gaps) spaces to each gap, and distribute the remainder total_spacesmod(num_gaps) as one extra space to the first few gaps. The last line is left-justified.",,Operationally difficult
LongestDistinctCharacter,Medium,Find length of longest substring without repeating characters.,"Sliding Window, Hash Set/Map","Use a Sliding Window with two pointers (L,R). Use a HashSet to track the characters currently in the window. If s[R] is already in the set, move L to 1 position after the first occurrence of s[R], and update the set.",,
LargestNumber,Hard,Arrange numbers to form largest number.,"Custom Sorting, Comparator","The problem requires a custom sorting comparator. For two numbers A and B, they should be sorted such that the number formed by concatenating them, ‘str‘(A)+‘str‘(B), is greater than ‘str‘(B)+‘str‘(A).",,Confusing comparator
AllAnagrams,Very Hard,Find all anagrams of a pattern in a string.,"Sliding Window, Frequency Map",Use a Sliding Window of size len(p). Use a Frequency Map (or array of size 26) for both the target p and the current window of s. The window is an anagram if the two frequency maps are equal. Optimization: Use a single ‘count‘ variable to track the number of characters in the window whose frequency is still missing from the target.,,Didn't get logic of shrinking the window
NonConsecutiveOnesCounter,Impossible,Count binary strings without consecutive 1s.,"Dynamic Programming, Bit Manipulation",DP/Combinatorics: The number of binary strings of length L with no consecutive 1's is related to Fibonacci numbers. Fib(L)=count(ends in 0)+count(ends in 1). The problem is solved by counting the total and subtracting the count of numbers >N that also satisfy the non-consecutive 1's rule.,29-Sep-2025,Very hard to understand the subtraction logic
MaxGoodPeople,Impossible,Maximize number of good people based on statements.,"Backtracking, Bit Manipulation, Brute Force","The number of people N is small (≤15). This suggests a 2N solution. Use Backtracking or Brute Force with a bitmask to represent all 2N possible subsets of ""good people."" For each subset, check if it's a consistent assignment (i.e., all statements made by the ""good people"" are true).",29-Sep-2025,Bit manipulation approach is impossible. Backtracking is good
CountWords,Very Hard,,"Trie, Word Segmentation, Dynamic Programming",,,
MaximumXorOfTwoNumbersInArray,Very Hard,Find maximum XOR of two numbers in an array.,"Trie (Prefix Tree), Bit Manipulation","To maximize XOR, traverse a Binary Trie and try to always choose the opposite bit (0 XOR 1, 1 XOR 0) at the most significant positions first.",,
FindPairMaxBitwiseAnd,Very Hard,Find pair with maximum bitwise AND.,"Bit Manipulation, Greedy",The key is to check the bits from the Most Significant Bit (MSB) down. Find the largest possible number $x$ such that at least $k$ elements in the array satisfy element & x == x.,,
CoinChange,Easy,Find minimum coins needed to make a target amount.,"Dynamic Programming, Unbounded Knapsack",DP State: dp[i] is the minimum number of coins to make an amount i. Recurrence: dp[i]=minc∈coins​(dp[i−c])+1.,,
RegularExpressionMatching,Hard,Implement regular expression matching with . and *.,"Dynamic Programming (DP), Recursion with Memoization","The state for the DP is dp[i][j], which is true if s[i:] matches p[j:]. Handle the * case by considering two options: matching zero of the preceding element or matching one (or more) and then advancing s.",,
BrokenCalculator,Hard,Find minimum operations to reach target using broken calculator.,"Greedy, Working Backwards","Start from the target and work backwards to startValue. If target is even, divide by 2. If target is odd, you must add 1 to make it even, as multiplying by 2 from a smaller number is more costly.",,
LongestCommonSubstring,Medium,Find longest common substring between two strings.,"Dynamic Programming, 2D Array","DP State: dp[i][j] is the length of the longest common suffix of text1[0…i] and text2[0…j]. Recurrence: If text1[i]=text2[j], then dp[i][j]=dp[i−1][j−1]+1; otherwise, dp[i][j]=0. The answer is max(dp[i][j]) across the whole table.",5-Sep-2025,
MinRefuel,Very Hard,"Given initial fuel, gas stations with distance and fuel, destination. Find minimum refueling stops to reach destination.","Greedy, Max-Heap","Greedy Approach: At each fuel station, if the current fuel is not enough to reach the next station, use a Max-Heap to refuel from the stations passed so far with the maximum available gas.",,Still didn't get DP approach even though its not optimal
CoinsInLine,Very Hard,Given an array of coins. Maximize coins collected by player 1 in a line game.,"Dynamic Programming, Game Theory (MiniMax)","DP State: dp[i][j] is the maximum score the current player can get from the coins coins[i…j]. Recurrence: The current player chooses either coins[i] or coins[j]. The remaining score for the opponent must be minimized: dp[i][j]=max(coins[i]+min(dp[i+2][j],dp[i+1][j−1]),coins[j]+min(dp[i+1][j−1],dp[i][j−2])).",,"Hard intuition, easy for implementation"
MaximumProfitJobScheduling,Impossible,Maximize profit from overlapping job scheduling where each job has some profit,"Dynamic Programming, Binary Search, Interval Scheduling","DP State: dp[i] is the maximum profit by considering jobs up to job[i]. Sort jobs by end time. Recurrence: dp[i]=max(dp[i−1],profit[i]+dp[prev_non_overlapping_job]). The index of ‘prev_non_overlapping_job‘ is found using Binary Search on the sorted end times.",,"Could come up with the appraoch, binary search to find prev non overlapping is bit challenging"
DistinctSubsequence,Very Hard,Count distinct subsequences of one string in another.,"Dynamic Programming, 2D Array","DP State: dp[i][j] is the number of distinct subsequences of text1[0…i−1] that equal text2[0…j−1]. Recurrence: If text1[i−1]=text2[j−1], then dp[i][j]=dp[i−1][j−1]+dp[i−1][j]. If text1[i−1]=text2[j−1], then dp[i][j]=dp[i−1][j].",,
MinimumPathSumTriangle,Hard,Find minimum path sum from top to bottom of triangle.,"Dynamic Programming (DP), Space Optimization (Bottom-Up)","To find the minimum path sum, start from the bottom row and move upwards. The minimum path sum at (i, j) is triangle[i][j] + min(dp[i+1][j], dp[i+1][j+1]). You can optimize space by only storing one row's results.",,
BurstBalloon,Impossible,Maximize coins by bursting balloons.,"Dynamic Programming, Range DP","DP State: dp[i][j] is the maximum coins from bursting all balloons in the range open interval (i,j). The key is to iterate on the balloon burst last in the range, say k. dp[i][j]=maxi<k<j​(dp[i][k]+dp[k][j]+coins[i]×coins[k]×coins[j]).",,"Could not come up with approach. This has DP with based on left and right index, not intuitive like knapsack"
WildcardMatching,Hard,Implement wildcard pattern matching with ? and *.,"Dynamic Programming, Two Pointers (Greedy)","DP State: dp[i][j] is true if the prefix s[0…i−1] matches p[0…j−1]. The recurrence is complex, mainly due to the ’*’. Optimization (Greedy/Two Pointers): Use a ‘star_match‘ pointer to handle the ’*’, backtracking when the current match fails.",5-Sep-2025,
InterleavingString,Hard,Check if s3 is formed by interleaving s1 and s2.,"Dynamic Programming, 2D Array",DP State: dp[i][j] is true if s3[0…i+j−1] is an interleaving of s1[0…i−1] and s2[0…j−1]. Recurrence: dp[i][j]=(dp[i−1][j]∧s1[i−1]=s3[i+j−1])∨(dp[i][j−1]∧s2[j−1]=s3[i+j−1]).,5-Sep-2025,Bit tricky appraoch but easy to code after understanding the appraoch
WordBreak,Medium,Check if string can be segmented into dictionary words.,"Dynamic Programming, String Segmentation",DP State: dp[i] is true if the prefix s[0…i−1] can be segmented. Recurrence: dp[i]=⋁j<i​(dp[j]∧s[j…i−1]∈dictionary).,6-Sep-2025,
WordBreak2,Very Hard,"Given a string s and a dictionary wordDict, return all possible ways to break s into a sequence of dictionary words. Each word must appear in the dictionary, and the same word can be reused multiple times.","Dynamic Programming, Memoization, Backtracking","Use recursion with memoization (top-down DP). At each index, try all possible word endings—if a substring matches a dictionary word, recursively solve for the remaining string. Memoize results by start index to avoid recomputation. Build sentences by concatenating valid prefixes with recursive suffix results, achieving O(N²) time with pruning.",6-Sep-2025,
BestTimeToBuyAndSellStockWithCooldown,Hard,Maximize profit with stock transactions and cooldown.,"Dynamic Programming (DP), State Machine DP","Define three states for each day: buy (max profit if you hold a stock), sell (max profit if you sell today), and cooldown (max profit if you did nothing today/are in cooldown).",,
BuySellStock0,Medium,Find maximum profit from buying and selling stock once.,"Dynamic Programming, State Machine",This is the basic Buy/Sell Stock I problem. Find the min price to buy and maximize sell_price−min_buy.,,
BestTimeToBuyAndSellStockWithTransactionFee,Very Hard,Maximize profit with transaction fee.,"Dynamic Programming, State Machine","DP State: ‘hold‘[i] (max profit if holding a stock on day i) and ‘free‘[i] (max profit if not holding a stock on day i). Recurrence: ‘hold‘[i]=max(‘hold‘[i−1],‘free‘[i−1]−price[i]). ‘free‘[i]=max(‘free‘[i−1],‘hold‘[i−1]+price[i]−fee).",,
BuySellStock3,Very Hard,Maximize profit with at most two transactions.,"Dynamic Programming, State Machine, K=2","DP State: ‘buy1‘, ‘sell1‘, ‘buy2‘, ‘sell2‘ represent the max profit after the 1st buy, 1st sell, 2nd buy, and 2nd sell, respectively. The maximum profit is constrained by K=2 transactions.",,
BestTimeToBuyAndSellStockIV,Hard,Maximize profit with at most k transactions.,Dynamic Programming (DP),"Use a 2D DP array, dp[k][i], representing the max profit with at most k transactions up to day i. Handle the edge case where $k$ is large enough to allow unlimited transactions (similar to 'Best Time to Buy and Sell Stock II').",,
BrainPower,Medium,Maximize brain power from solving questions.,"Dynamic Programming, Recursion/Memoization","DP State: dp[i] is the maximum points obtainable by considering questions from index i to the end. Recurrence: dp[i]=max(points[i]+dp[i+brainpower[i]+1],dp[i+1]).",,Got bit confused on the intution but easy implementation
CountMatricesWithAllOnes,Impossible,Count submatrices with all ones.,"Dynamic Programming (DP), Monotonic Stack/Prefix Sum","For each cell (r, c), calculate the height $h[r][c]$ of consecutive ones extending up from that cell. The problem then reduces to finding the sum of areas of all histograms formed by these heights in each row.",,
ChampagneTower,Medium,Calculate champagne in a glass after pouring.,"Dynamic Programming, 2D Array Simulation","The amount of fluid that flows to glass[i][j] is (fluid−1.0)/2 from glass[i−1][j−1] and (fluid−1.0)/2 from glass[i−1][j]. DP State: dp[i][j] is the amount of fluid that pours into glass (i,j).",,Easy to come up with approach and solution
MinimumPathSum,Medium,Find minimum path sum in a grid.,"Dynamic Programming, Grid Traversal","DP State: dp[i][j] is the minimum path sum to reach cell (i,j). Recurrence: dp[i][j]=grid[i][j]+min(dp[i−1][j],dp[i][j−1]).",,
CountUniqueCharactersOfAllSubstrings,Very Hard,Count unique characters in all substrings.,"Contribution Technique, Monotonic Stack",The key is to calculate the contribution of each character S[i] to the total count. S[i] contributes 1 to the unique count of a substring S[L…R] if it's the only instance of that character in the substring. Use two arrays to store the index of the previous and next occurrence of the same character.,,
MinimumCostMergeStones,Impossible,Find minimum cost to merge stone piles if we can merge k piles at a time. Cost of merging is equal to the value of piles,"Dynamic Programming, Range DP, Prefix Sum",DP State: dp[i][j] is the minimum cost to merge the stones from index i to j into a single pile. Recurrence: dp[i][j]=mink=ij−1​(dp[i][k]+dp[k+1][j])+sum(stones[i…j]). Requires the interval to be mergeable (size mod(K−1)=1). Use Prefix Sum for O(1) sum calculation.,,
MaximumLengthPairChain,Hard,Find maximum length of pair chain.,"Greedy, Sorting, Interval Scheduling",Greedy Approach: Sort the pairs based on their end value (the second element). Iterate through the sorted pairs and greedily select the next pair whose start value is strictly greater than the end value of the previously selected pair.,11-Sep-2025,
EqualSum,Medium,Check if array can be partitioned into equal sum subsets.,"Dynamic Programming, 0/1 Knapsack, Memoization/Tabulation",This is a standard Subset Sum problem. DP State: dp[i][s] is true if a sum s can be formed using the first i items. Recurrence: dp[i][s]=dp[i−1][s]∨dp[i−1][s−item].,,"Easy with recursive aproach, difficulty in understanding the iterative appraoch"
Knapsack,Medium,Solve 0/1 knapsack problem.,"Dynamic Programming, 0/1 Knapsack","DP State: dp[i][w] is the maximum value that can be formed using the first i items with a capacity of w. Recurrence: dp[i][w]=max(dp[i−1][w],value[i]+dp[i−1][w−weight[i]]).",,"Easy with recursive aproach, difficulty in understanding the iterative appraoch"
MinimumSubsetSumDifference,Medium,Minimize difference between two subset sums.,"Dynamic Programming, Subset Sum",Find all possible subset sums S that can be formed from the array elements using the Subset Sum DP. The minimum difference is $\min(,,"Easy with recursive aproach, difficult last row condition in the iterative approach"
MinimumWindowSubsequence,Impossible,"Find the shortest substring of s1 that contains s2 as a subsequence (characters in order, not necessarily consecutive).",,,,
ShortestSubarraySum,Impossible,Find shortest subarray with sum at least k.,"Deque (Monotonic Queue), Prefix Sum","Use Prefix Sum array P. The subarray sum nums[i…j]=P[j+1]−P[i]. We want P[j+1]−P[i]≥K. Use a Monotonic Increasing Deque to store the indices of the prefix sums. When P[j+1] is large enough, it allows for a short subarray.",,Very hard to come up with the appraoch. Even difficult to get the approach after viewing neetcode
CountSubsetsWithGivenSum,Medium,Count subsets with a given sum.,"Dynamic Programming, Subset Sum Counting",DP State: dp[i][s] is the number of subsets of the first i items that sum to s. Recurrence: dp[i][s]=dp[i−1][s]+dp[i−1][s−item].,,"Easy with recursive aproach, difficulty in understanding the iterative appraoch"
SubsetSum,Medium,Check if there exists a subset with given sum.,"Dynamic Programming, 0/1 Knapsack (Decision)",DP State: dp[i][s] is true if a subset with sum s exists using the first i items. Recurrence: dp[i][s]=dp[i−1][s]∨dp[i−1][s−item].,,
CountSubsetWithGivenDifference,Medium,Count subsets with given difference.,"Dynamic Programming, Subset Sum Counting",The problem reduces to finding the number of subsets with a specific sum S. Let S1 and S2 be the two subset sums. S1−S2=diff and S1+S2=total_sum. Solving for S1 gives S1=(total_sum+diff)/2. This requires total_sum+diff to be non-negative and even.,,Easy after doing CountSubsetWithGivenSum
ConcatenatedWords,Impossible,Find all concatenated words in a list.,"Trie, Dynamic Programming, Memoization",1) Build a Trie from all the words for O(1) prefix look-up. 2) Use Dynamic Programming/Memoization to check if a word can be segmented into a sequence of other words from the dictionary.,13-Nov-2025,
